id,source,supplier_name,supplier_normalized,contract_number,title,description,category,eligible_industries,contract_type,start_date,end_date,geographic_coverage,diversity_status,contract_url,supplier_url,status
1,OMNIA,ODP Business Solutions,ODP BUSINESS SOLUTIONS,,"Office, Print, Breakroom & Janitorial Solutions","Office, Print, Breakroom & Janitorial Solutions","Corporate Services, Facilities","Enterprise, Corporate, Private Equity, Real Estate",,,,Canada,,https://www.omniapartners.com/suppliers/odp-business-solutions/private-sector,,active
2,OMNIA,ODP Business Solutions Workspace Interiors,ODP BUSINESS SOLUTIONS WORKSPACE INTERIORS,,Furniture & Workspace Solutions,Furniture & Workspace Solutions,"Corporate Services, Furniture","Enterprise, Corporate, Private Equity, Real Estate",,,,Canada,,https://www.omniapartners.com/suppliers/odp-business-solutions-workspace-interiors/private-sector,,active
3,OMNIA,Fastenal,FASTENAL,,"Hardware, MRO & Industrial Supplies","Hardware, MRO & Industrial Supplies",Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/fastenal/private-sector,,active
4,OMNIA,Cintas,CINTAS,,"Uniforms, Mats, First Aid, Fire & Safety Solutions","Uniforms, Mats, First Aid, Fire & Safety Solutions",Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,Canada,,https://www.omniapartners.com/suppliers/cintas/private-sector,,active
5,OMNIA,Cintas,CINTAS,,Branded Apparel,Branded Apparel,"Corporate Services, Facilities","Enterprise, Corporate, Private Equity, Real Estate",,,,Canada,,https://www.omniapartners.com/suppliers/cintas/private-sector,,active
6,OMNIA,Enterprise Mobility,ENTERPRISE MOBILITY,,Car & Truck Rental,Car & Truck Rental,"Travel, Corporate Services","Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/enterprise-holdings/private-sector,,active
7,OMNIA,Grainger,GRAINGER,,"Industrial, MRO, and Safety Solutions","Industrial, MRO, and Safety Solutions",Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico,,https://www.omniapartners.com/suppliers/grainger/private-sector,,active
8,OMNIA,Amazon Business,AMAZON BUSINESS,,Online Marketplace,Online Marketplace,Corporate Services,"Enterprise, Corporate, Private Equity, Real Estate",,,,United States,,https://www.omniapartners.com/suppliers/amazon-business/private-sector,,active
9,OMNIA,Sterling,STERLING,,Background Checks & Drug Screening,Background Checks & Drug Screening,Human Resources,"Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/sterling-talent-solutions/private-sector,,active
10,OMNIA,Weichert,WEICHERT,,Workforce Mobility & Corporate Housing,Workforce Mobility & Corporate Housing,"Human Resources, Corporate Services, Travel","Enterprise, Corporate, Private Equity",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/weichert-workforce-mobility/private-sector,,active
11,OMNIA,Konica Minolta Business Solutions,KONICA MINOLTA BUSINESS SOLUTIONS,,"Technology, Print & Marketing Solutions","Technology, Print & Marketing Solutions","IT & Telecom, Corporate Services","Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/konica-minolta/private-sector,,active
12,OMNIA,Lowe's,LOWE'S,,Facility Supplies,Facility Supplies,Facilities,"Enterprise, Corporate, Private Equity",,,,United States,,https://www.omniapartners.com/suppliers/lowes-pro/private-sector,,active
13,OMNIA,MillerKnoll,MILLERKNOLL,,Furniture & Workspace Solutions,Furniture & Workspace Solutions,"Corporate Services, Furniture","Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Canada,,https://www.omniapartners.com/suppliers/millerknoll/private-sector,,active
14,OMNIA,AMP&M,AMP&M,,Promotional Merchandise Management,Promotional Merchandise Management,"Corporate Services, Business Products & Services","Nonprofit, Enterprise, Corporate, Private Equity, Real Estate",,,,United States,WBE,https://www.omniapartners.com/suppliers/ampm/private-sector,,active
15,OMNIA,"HD Supply, Formerly Home Depot Pro Institutional","HD SUPPLY, FORMERLY HOME DEPOT PRO INSTITUTIONAL",,"Janitorial, Industrial & MRO Solutions","Janitorial, Industrial & MRO Solutions",Facilities,"Enterprise, Corporate, Private Equity",,,,Canada,,https://www.omniapartners.com/suppliers/hd-supply-formerly-home-depot-pro-institutional/private-sector,,active
16,OMNIA,Ricoh Americas Corporation,RICOH AMERICAS,,Technology & Print Solutions,Technology & Print Solutions,IT & Telecom,"Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/ricoh/private-sector,,active
17,OMNIA,CentiMark,CENTIMARK,,Roofing,Roofing,Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,Canada,,https://www.omniapartners.com/suppliers/centimark/private-sector,,active
18,OMNIA,Fisher Scientific,FISHER SCIENTIFIC,,Lab Equipment & Supplies,Lab Equipment & Supplies,"Corporate Services, Facilities","Enterprise, Corporate, Private Equity",,,,United States,,https://www.omniapartners.com/suppliers/fisher-scientific/private-sector,,active
19,OMNIA,Motion,MOTION,,Industrial Supplies & MRO,Industrial Supplies & MRO,Facilities,"Enterprise, Corporate, Private Equity",,,,Mexico; Canada,,https://www.omniapartners.com/suppliers/motion/private-sector,,active
20,OMNIA,"Sunbelt Rentals, Inc.","SUNBELT RENTALS, .",,Equipment Rental,Equipment Rental,Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,Canada,,https://www.omniapartners.com/suppliers/sunbelt-rentals-inc/private-sector,,active
21,OMNIA,TFS,TFS,,Material Handling,Material Handling,Facilities,"Enterprise, Corporate, Private Equity",,,,Mexico; Canada,,https://www.omniapartners.com/suppliers/tfs/private-sector,,active
22,OMNIA,Technologent,TECHNOLOGENT,,Global IT Solutions,Global IT Solutions,IT & Telecom,"Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Canada; Global,WBE,https://www.omniapartners.com/suppliers/technologent/private-sector,,active
23,OMNIA,Populus Group,POPULUS GROUP,,Contingent Workforce Solutions,Contingent Workforce Solutions,Human Resources,"Enterprise, Corporate, Private Equity, Real Estate",,,,United States,"MBE,VBE",https://www.omniapartners.com/suppliers/populus-group/private-sector,,active
24,OMNIA,Staffmark Group,STAFFMARK GROUP,,Contingent Workforce Solutions,Contingent Workforce Solutions,Human Resources,"Enterprise, Corporate, Private Equity, Real Estate",,,,United States,,https://www.omniapartners.com/suppliers/staffmark-group-llc/private-sector,,active
25,OMNIA,Staples Business,STAPLES BUSINESS,,JanSan & Breakroom Supplies,JanSan & Breakroom Supplies,"Corporate Services, Facilities","Enterprise, Corporate, Real Estate",,,,Mexico,,https://www.omniapartners.com/suppliers/staples/private-sector,,active
26,OMNIA,KONE,KONE,,Elevator Products and Services,Elevator Products and Services,Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,Global,,https://www.omniapartners.com/suppliers/kone/private-sector,,active
27,OMNIA,Rentokil,RENTOKIL,,Pest Control and Disinfection Services,Pest Control and Disinfection Services,Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,Canada,,https://www.omniapartners.com/suppliers/rentokil/private-sector,,active
28,OMNIA,"TrueBlue Services, Inc.","TRUEBLUE SERVICES, .",,Staffing & Total Workplace Solutions,Staffing & Total Workplace Solutions,Human Resources,"Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/trueblue-services/private-sector,,active
29,OMNIA,Network Distribution,NETWORK DISTRIBUTION,,"Cleaning, Janitorial and Packaging Supplies","Cleaning, Janitorial and Packaging Supplies","Facilities, Manufacturing Materials & Services","Enterprise, Corporate, Private Equity",,,,Mexico; Canada,,https://www.omniapartners.com/suppliers/network-distribution/private-sector,,active
30,OMNIA,Dayforce,DAYFORCE,,Payroll & HCM Solutions,Payroll & HCM Solutions,Human Resources,"Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/dayforce/private-sector,,active
31,OMNIA,Global Industrial,GLOBAL INDUSTRIAL,,Industrial Supplies & MRO,Industrial Supplies & MRO,Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,Canada,,https://www.omniapartners.com/suppliers/global-industrial/private-sector,,active
32,OMNIA,Acro,ACRO,,Contingent Workforce Solutions,Contingent Workforce Solutions,Human Resources,"Enterprise, Corporate, Private Equity",,,,Mexico; Canada; Global,MBE,https://www.omniapartners.com/suppliers/acro-service-corporation/private-sector,,active
33,OMNIA,Georgia-Pacific,GEORGIA-PACIFIC,,Janitorial & Breakroom Solutions,Janitorial & Breakroom Solutions,Facilities,"Enterprise, Corporate, Private Equity",,,,Canada,,https://www.omniapartners.com/suppliers/georgia-pacific/private-sector,,active
34,OMNIA,Endries,ENDRIES,,Fasteners & Related Production Components,Fasteners & Related Production Components,Manufacturing Materials & Services,"Enterprise, Corporate, Private Equity",,,,Mexico; Canada,,https://www.omniapartners.com/suppliers/endries-international-inc/private-sector,,active
35,OMNIA,Innova,INNOVA,,Contingent Workforce Solutions,Contingent Workforce Solutions,Human Resources,"Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico,MBE,https://www.omniapartners.com/suppliers/innova/private-sector,,active
36,OMNIA,Kimberly Clark Professional,KIMBERLY CLARK PROFESSIONAL,,Janitorial Supplies & Solutions,Janitorial Supplies & Solutions,Facilities,"Enterprise, Corporate, Private Equity",,,,United States,,https://www.omniapartners.com/suppliers/kimberly-clark/private-sector,,active
37,OMNIA,Advance Auto Parts,ADVANCE AUTO PARTS,,Fleet & Automotive,Fleet & Automotive,"Freight & Logistics, Facilities","Enterprise, Corporate, Private Equity",,,,United States,,https://www.omniapartners.com/suppliers/advance-auto-parts/private-sector,,active
38,OMNIA,B&H Photo,B&H PHOTO,,Audio/Visual & IT Equipment,Audio/Visual & IT Equipment,IT & Telecom,"Enterprise, Corporate, Private Equity, Real Estate",,,,United States,,https://www.omniapartners.com/suppliers/bh-photo/private-sector,,active
39,OMNIA,PPG Paints,PPG PAINTS,,Paint & Painting Supplies,Paint & Painting Supplies,Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,United States,,https://www.omniapartners.com/suppliers/ppg-paints/private-sector,,active
40,OMNIA,Achilles,ACHILLES,,Supplier Risk Solutions,Supplier Risk Solutions,Corporate Services,"Enterprise, Corporate, Private Equity",,,,Global,,https://www.omniapartners.com/suppliers/achilles/private-sector,,active
41,OMNIA,Insight Energy,INSIGHT ENERGY,,Energy Consulting and Services,Energy Consulting and Services,Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,Canada,,https://www.omniapartners.com/suppliers/insight-energy/private-sector,,active
42,OMNIA,PODS,PODS,,Workforce and Commercial Relocation & Storage,Workforce and Commercial Relocation & Storage,"Corporate Services, Human Resources","Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/pods-enterprises-llc/private-sector,,active
43,OMNIA,C Spire,C SPIRE,,IT Products and Services,IT Products and Services,IT & Telecom,"Enterprise, Corporate, Private Equity, Real Estate",,,,United States,,https://www.omniapartners.com/suppliers/c-spire/private-sector,,active
44,OMNIA,Batteries Plus,BATTERIES PLUS,,"Electrical, Lighting & Batteries","Electrical, Lighting & Batteries",Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,United States,,https://www.omniapartners.com/suppliers/batteries-plus/private-sector,,active
45,OMNIA,TransImpact,TRANSIMPACT,,Small Parcel & LTL Logistics,Small Parcel & LTL Logistics,"Freight & Logistics, Corporate Services","Enterprise, Corporate, Private Equity",,,,Mexico; Global,,https://www.omniapartners.com/suppliers/transimpact/private-sector,,active
46,OMNIA,Graybar,GRAYBAR,,"Electrical, Lighting, Data & Security Solutions","Electrical, Lighting, Data & Security Solutions","IT & Telecom, Facilities","Enterprise, Corporate, Private Equity, Real Estate",,,,United States,,https://www.omniapartners.com/suppliers/graybar/private-sector,,active
47,OMNIA,Corpay,CORPAY,,Corporate Payment Solutions,Corporate Payment Solutions,Financial Services,"Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Global,,https://www.omniapartners.com/suppliers/corpay/private-sector,,active
48,OMNIA,Herc Rentals,HERC RENTALS,,Equipment Rental,Equipment Rental,Facilities,"Enterprise, Corporate, Private Equity",,,,Canada,,https://www.omniapartners.com/suppliers/herc-rentals/private-sector,,active
49,OMNIA,Cellular Solutions,CELLULAR SOLUTIONS,,Cellular Consulting Services,Cellular Consulting Services,IT & Telecom,"Enterprise, Corporate, Private Equity, Real Estate",,,,United States,,https://www.omniapartners.com/suppliers/cellular-solutions/private-sector,,active
50,OMNIA,RTi Global,RTI GLOBAL,,Plastic & Paper Packaging Solutions,Plastic & Paper Packaging Solutions,Manufacturing Materials & Services,"Enterprise, Corporate, Private Equity",,,,Canada,,https://www.omniapartners.com/suppliers/rti-global/private-sector,,active
51,OMNIA,Apto Solutions,APTO SOLUTIONS,,IT Asset Disposition,IT Asset Disposition,IT & Telecom,"Enterprise, Corporate, Private Equity",,,,United States,,https://www.omniapartners.com/suppliers/apto-solutions-inc/private-sector,,active
52,OMNIA,Powerhouse Retail Services,POWERHOUSE RETAIL SERVICES,,Construction Services & Facility Maintenance,Construction Services & Facility Maintenance,Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,United States,,https://www.omniapartners.com/suppliers/powerhouse/private-sector,,active
53,OMNIA,Connection,CONNECTION,,IT Products & Services,IT Products & Services,IT & Telecom,"Enterprise, Corporate, Private Equity",,,,Global,,https://www.omniapartners.com/suppliers/connection/private-sector,,active
54,OMNIA,Granite Telecommunications,GRANITE TELECOMMUNICATIONS,,Voice & Network Services,Voice & Network Services,IT & Telecom,"Enterprise, Corporate, Private Equity, Real Estate",,,,Canada,,https://www.omniapartners.com/suppliers/granite-telecommunications/private-sector,,active
55,OMNIA,PalletMaxx,PALLETMAXX,,New and Reconditioned Pallets,New and Reconditioned Pallets,Manufacturing Materials & Services,"Enterprise, Corporate, Private Equity",,,,Canada,,https://www.omniapartners.com/suppliers/palletmaxx-inc/private-sector,,active
56,OMNIA,Service Logic,SERVICE LOGIC,,HVAC Maintenance Services,HVAC Maintenance Services,Facilities,"Enterprise, Corporate, Private Equity",,,,United States,,https://www.omniapartners.com/suppliers/service-logic/private-sector,,active
57,OMNIA,ServiceWear Apparel,SERVICEWEAR APPAREL,,Uniforms & Branded Apparel,Uniforms & Branded Apparel,"Corporate Services, Facilities","Enterprise, Corporate, Private Equity, Real Estate",,,,Canada,,https://www.omniapartners.com/suppliers/servicewear-apparel/private-sector,,active
58,OMNIA,PaveConnect,PAVECONNECT,,Paving Services,Paving Services,Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,United States,,https://www.omniapartners.com/suppliers/paveconnect/private-sector,,active
59,OMNIA,Club Car,CLUB CAR,,Golf Carts & Utility Vehicles,Golf Carts & Utility Vehicles,"Freight & Logistics, Facilities","Enterprise, Corporate, Private Equity, Real Estate",,,,United States,,https://www.omniapartners.com/suppliers/club-car-inc/private-sector,,active
60,OMNIA,GameTime,GAMETIME,,Outdoor Furniture & Recreation Environments,Outdoor Furniture & Recreation Environments,"Facilities, Furniture","Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/gametime/private-sector,,active
61,OMNIA,KBS,KBS,,Janitorial Solutions,Janitorial Solutions,Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,United States,,https://www.omniapartners.com/suppliers/kbs/private-sector,,active
62,OMNIA,Republic Services,REPUBLIC SERVICES,,Waste Management & Recycling,Waste Management & Recycling,Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,United States,,https://www.omniapartners.com/suppliers/republic-services-inc/private-sector,,active
63,OMNIA,"Tork, An Essity Brand","TORK, AN ESSITY BRAND",,Janitorial & Sanitation Solutions,Janitorial & Sanitation Solutions,Facilities,"Enterprise, Corporate, Private Equity",,,,United States,,https://www.omniapartners.com/suppliers/tork-an-essity-brand/private-sector,,active
64,OMNIA,Lakeshore Learning,LAKESHORE LEARNING,,Educational Supplies,Educational Supplies,"Corporate Services, Furniture","Enterprise, Corporate, Private Equity",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/lakeshore-learning/private-sector,,active
65,OMNIA,RR Donnelley,RR DONNELLEY,,"Print, Packing & Marketing Solutions","Print, Packing & Marketing Solutions","Corporate Services, Manufacturing Materials & Services","Enterprise, Corporate, Private Equity",,,,Mexico; Canada,,https://www.omniapartners.com/suppliers/rr-donnelley/private-sector,,active
66,OMNIA,Knight Facilities,KNIGHT FACILITIES,,Facilities Solutions,Facilities Solutions,Facilities,"Enterprise, Corporate, Private Equity",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/knight-facilities/private-sector,,active
67,OMNIA,FTD,FTD,,Floral & Gifts,Floral & Gifts,Corporate Services,"Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/ftd-companies/private-sector,,active
